Romania,2/26/2020,,16.67,16.67,"W09, 2020"
,,,,,
Romania,2/27/2020,,16.67,23.41428571,"W10, 2020"
,,,,,
Romania,2/28/2020,,16.67,56.34571429,"W11, 2020"
,,,,,
Romania,2/29/2020,,16.67,67.85571429,"W12, 2020"
,,,,,
Romania,3/1/2020,,16.67,80.28857143,"W13, 2020"
,,,,,
Romania,3/2/2020,,16.67,87.04,"W14, 2020"
,,,,,
Romania,3/3/2020,,16.67,87.04,"W15, 2020"
,,,,,
Romania,3/4/2020,,16.67,87.04,"W16, 2020"
,,,,,
Romania,3/5/2020,,16.67,87.04,"W17, 2020"
,,,,,
Romania,3/6/2020,,16.67,87.04,"W18, 2020"
,,,,,
Romania,3/7/2020,,16.67,84.65714286,"W19, 2020"
,,,,,
Romania,3/8/2020,,30.56,76.58571429,"W20, 2020"
,,,,,
Romania,3/9/2020,,33.33,75,"W21, 2020"
,,,,,
Romania,3/10/2020,,33.33,69.44428571,"W22, 2020"
,,,,,
Romania,3/11/2020,,44.44,53.7,"W23, 2020"
,,,,,
Romania,3/12/2020,,58.33,52.90857143,"W24, 2020"
,,,,,
Romania,3/13/2020,,58.33,41.67,"W25, 2020"
,,,,,
Romania,3/14/2020,,58.33,41.67,"W26, 2020"
,,,,,
Romania,3/15/2020,,58.33,41.27285714,"W27, 2020"
,,,,,
Romania,3/16/2020,,58.33,42.59,"W28, 2020"
,,,,,
Romania,3/17/2020,,58.33,42.59,"W29, 2020"
,,,,,
Romania,3/18/2020,,58.33,42.59,"W30, 2020"
,,,,,
Romania,3/19/2020,,61.11,42.59,"W31, 2020"
,,,,,
Romania,3/20/2020,,61.11,42.59,"W32, 2020"
,,,,,
Romania,3/21/2020,,69.44,42.59,"W33, 2020"
,,,,,
Romania,3/22/2020,,75,42.59,"W34, 2020"
,,,,,
Romania,3/23/2020,,75,42.59,"W35, 2020"
,,,,,
Romania,3/24/2020,,75,44.97285714,"W36, 2020"
,,,,,
Romania,3/25/2020,,78.7,44.84142857,"W37, 2020"
,,,,,
Romania,3/26/2020,,78.7,43.52,"W38, 2020"
,,,,,
Romania,3/27/2020,,78.7,43.52,"W39, 2020"
,,,,,
Romania,3/28/2020,,78.7,43.52,"W40, 2020"
,,,,,
Romania,3/29/2020,,78.7,44.70571429,"W41, 2020"
,,,,,
Romania,3/30/2020,,81.48,45.89571429,"W42, 2020"
,,,,,
Romania,3/31/2020,,87.04,54.63,"W43, 2020"
,,,,,
Romania,4/1/2020,,87.04,54.63,"W44, 2020"
,,,,,
Romania,4/2/2020,,87.04,58.07,"W45, 2020"
,,,,,
Romania,4/3/2020,,87.04,69.57857143,"W46, 2020"
,,,,,
Romania,4/4/2020,,87.04,76.85,"W47, 2020"
,,,,,
Romania,4/5/2020,,87.04,76.85,"W48, 2020"
,,,,,
Romania,4/6/2020,,87.04,76.85,"W49, 2020"
,,,,,
Romania,4/7/2020,,87.04,76.85,"W50, 2020"
,,,,,
Romania,4/8/2020,,87.04,76.85,"W51, 2020"
,,,,,
Romania,4/9/2020,,87.04,76.85,"W52, 2020"
,,,,,
Romania,4/10/2020,,87.04,76.85,"W01, 2021"
,,,,,
Romania,4/11/2020,,87.04,76.85,"W02, 2021"
,,,,,
Romania,4/12/2020,,87.04,76.85,"W03, 2021"
,,,,,
Romania,4/13/2020,,87.04,76.85,"W04, 2021"
,,,,,
Romania,4/14/2020,,87.04,76.85,"W05, 2021"
,,,,,
Romania,4/15/2020,,87.04,76.85,"W06, 2021"
,,,,,
Romania,4/16/2020,,87.04,72.88142857,"W07, 2021"
,,,,,
Romania,4/17/2020,,87.04,67.32714286,"W08, 2021"
,,,,,
Romania,4/18/2020,,87.04,73.15,"W09, 2021"
,,,,,
Romania,4/19/2020,,87.04,73.15,"W10, 2021"
,,,,,
Romania,4/20/2020,,87.04,70.50428571,"W11, 2021"
,,,,,
Romania,4/21/2020,,87.04,63.89,"W12, 2021"
,,,,,
Romania,4/22/2020,,87.04,63.89,"W13, 2021"
,,,,,
Romania,4/23/2020,,87.04,63.89,"W14, 2021"
,,,,,
Romania,4/24/2020,,87.04,63.89,"W15, 2021"
,,,,,
Romania,4/25/2020,,87.04,63.89,"W16, 2021"
,,,,,
Romania,4/26/2020,,87.04,63.89,"W17, 2021"
,,,,,
Romania,4/27/2020,,87.04,63.89,"W18, 2021"
,,,,,
Romania,4/28/2020,,87.04,63.89,"W19, 2021"
,,,,,
Romania,4/29/2020,,87.04,51.32142857,"W20, 2021"
,,,,,
Romania,4/30/2020,,87.04,48.15,"W21, 2021"
,,,,,
Romania,5/1/2020,,87.04,47.03571429,"W22, 2021"
,,,,,
Romania,5/2/2020,,87.04,40.20857143,"W23, 2021"
,,,,,
Romania,5/3/2020,,87.04,40.02,"W24, 2021"
,,,,,
Romania,5/4/2020,,87.04,39.89428571,"W25, 2021"
,,,,,
Romania,5/5/2020,,87.04,39.79571429,"W26, 2021"
,,,,,
Romania,5/6/2020,,87.04,37.61428571,"W27, 2021"
,,,,,
Romania,5/7/2020,,87.04,37.21,"W28, 2021"
,,,,,
Romania,5/8/2020,,87.04,37.16285714,"W29, 2021"
,,,,,
Romania,5/9/2020,,87.04,37.11857143,"W30, 2021"
,,,,,
Romania,5/10/2020,,87.04,37.07142857,"W31, 2021"
,,,,,
Romania,5/11/2020,,78.7,41.79,"W32, 2021"
,,,,,
Romania,5/12/2020,,78.7,53.65428571,"W33, 2021"
,,,,,
Romania,5/13/2020,,78.7,53.61,"W34, 2021"
,,,,,
Romania,5/14/2020,,78.7,53.57,"W35, 2021"
,,,,,
Romania,5/15/2020,,78.7,53.53714286,"W36, 2021"
,,,,,
Romania,5/16/2020,,75,51.65857143,"W37, 2021"
,,,,,
Romania,5/17/2020,,75,48.79857143,"W38, 2021"
,,,,,
Romania,5/18/2020,,75,54.45285714,"W39, 2021"
,,,,,
Romania,5/19/2020,,75,61.72857143,"W40, 2021"
,,,,,
Romania,5/20/2020,,75,61.78142857,"W41, 2021"
,,,,,
Romania,5/21/2020,,75,61.67428571,"W42, 2021"
,,,,,
Romania,5/22/2020,,75,65.49,"W43, 2021"
,,,,,
Romania,5/23/2020,,75,75.21,"W44, 2021"
,,,,,
Romania,5/24/2020,,75,73.97571429,"W45, 2021"
,,,,,
Romania,5/25/2020,,75,71.13,"W46, 2021"
,,,,,
Romania,5/26/2020,,75,70.36571429,"W47, 2021"
,,,,,
Romania,5/27/2020,,75,67.13714286,"W48, 2021"
,,,,,
Romania,5/28/2020,,75,67.06,"W49, 2021"
,,,,,
Romania,5/29/2020,,75,64.08428571,"W50, 2021"
,,,,,
Romania,5/30/2020,,75,52.78,"W51, 2021"
,,,,,
Romania,5/31/2020,,75,52.78,"W52, 2021"
,,,,,
Romania,6/1/2020,,57.41,52.78,"W01, 2022"
,,,,,
Romania,6/2/2020,,53.7,52.78,"W02, 2022"
,,,,,
Romania,6/3/2020,,53.7,52.78,"W03, 2022"
,,,,,
Romania,6/4/2020,,53.7,52.78,"W04, 2022"
,,,,,
Romania,6/5/2020,,53.7,51.98571429,"W05, 2022"
,,,,,
Romania,6/6/2020,,53.7,47.22,"W06, 2022"
,,,,,
Romania,6/7/2020,,53.7,47.22,"W07, 2022"
,,,,,
Romania,6/8/2020,,53.7,47.22,"W08, 2022"
,,,,,
Romania,6/9/2020,,53.7,47.22,"W09, 2022"
,,,,,
Romania,6/10/2020,,53.7,47.22,"W10, 2022"
,,,,,
Romania,6/11/2020,,53.7,13.89,"W11, 2022"
,,,,,
Romania,6/12/2020,,53.7,13.89,"W12, 2022"
,,,,,
Romania,6/13/2020,,53.7,13.49285714,"W13, 2022"
,,,,,
Romania,6/14/2020,,53.7,11.11,"W14, 2022"
,,,,,
Romania,6/15/2020,,50.93,11.11,"W15, 2022"
,,,,,
Romania,6/16/2020,,50.93,11.11,"W16, 2022"
,,,,,
Romania,6/17/2020,,41.67,11.11,"W17, 2022"
,,,,,
Romania,6/18/2020,,41.67,11.11,"W18, 2022"
,,,,,
Romania,6/19/2020,,41.67,11.11,"W19, 2022"
,,,,,
Romania,6/20/2020,,41.67,11.11,"W20, 2022"
,,,,,
Romania,6/21/2020,,41.67,11.11,"W21, 2022"
,,,,,
Romania,6/22/2020,,41.67,11.11,"W22, 2022"
,,,,,
Romania,6/23/2020,,41.67,11.11,"W23, 2022"
,,,,,
Romania,6/24/2020,,41.67,11.11,"W24, 2022"
,,,,,
Romania,6/25/2020,,41.67,11.11,"W25, 2022"
,,,,,
Romania,6/26/2020,,41.67,11.11,"W26, 2022"
,,,,,
Romania,6/27/2020,,41.67,11.11,"W27, 2022"
,,,,,
Romania,6/28/2020,,41.67,11.11,"W28, 2022"
,,,,,
Romania,6/29/2020,,41.67,11.11,"W29, 2022"
,,,,,
Romania,6/30/2020,,41.67,11.11,"W30, 2022"
,,,,,
Romania,7/1/2020,,41.67,11.11,"W31, 2022"
,,,,,
Romania,7/2/2020,,41.67,11.11,"W32, 2022"
,,,,,
Romania,7/3/2020,,41.67,11.11,"W33, 2022"
,,,,,
Romania,7/4/2020,,41.67,11.11,"W34, 2022"
,,,,,
Romania,7/5/2020,,41.67,11.11,"W35, 2022"
,,,,,
Romania,7/6/2020,,41.67,11.11,"W36, 2022"
,,,,,
Romania,7/7/2020,,38.89,11.11,"W37, 2022"
,,,,,
Romania,7/8/2020,,42.59,11.11,"W38, 2022"
,,,,,
Romania,7/9/2020,,42.59,11.11,"W39, 2022"
,,,,,
Romania,7/10/2020,,42.59,11.11,"W40, 2022"
,,,,,
Romania,7/11/2020,,42.59,11.11,"W41, 2022"
,,,,,
Romania,7/12/2020,,42.59,11.11,"W42, 2022"
,,,,,
Romania,7/13/2020,,42.59,11.11,"W43, 2022"
,,,,,
Romania,7/14/2020,,42.59,11.11,"W44, 2022"
,,,,,
Romania,7/15/2020,,42.59,11.11,"W45, 2022"
,,,,,
Romania,7/16/2020,,42.59,,
,,,,,
Romania,7/17/2020,,42.59,,
,,,,,
Romania,7/18/2020,,42.59,,
,,,,,
Romania,7/19/2020,,42.59,,
,,,,,
Romania,7/20/2020,,42.59,,
,,,,,
Romania,7/21/2020,,42.59,,
,,,,,
Romania,7/22/2020,,42.59,,
,,,,,
Romania,7/23/2020,,42.59,,
,,,,,
Romania,7/24/2020,,42.59,,
,,,,,
Romania,7/25/2020,,42.59,,
,,,,,
Romania,7/26/2020,,42.59,,
,,,,,
Romania,7/27/2020,,42.59,,
,,,,,
Romania,7/28/2020,,42.59,,
,,,,,
Romania,7/29/2020,,42.59,,
,,,,,
Romania,7/30/2020,,42.59,,
,,,,,
Romania,7/31/2020,,42.59,,
,,,,,
Romania,8/1/2020,,42.59,,
,,,,,
Romania,8/2/2020,,42.59,,
,,,,,
Romania,8/3/2020,,42.59,,
,,,,,
Romania,8/4/2020,,42.59,,
,,,,,
Romania,8/5/2020,,42.59,,
,,,,,
Romania,8/6/2020,,42.59,,
,,,,,
Romania,8/7/2020,,42.59,,
,,,,,
Romania,8/8/2020,,42.59,,
,,,,,
Romania,8/9/2020,,42.59,,
,,,,,
Romania,8/10/2020,,42.59,,
,,,,,
Romania,8/11/2020,,42.59,,
,,,,,
Romania,8/12/2020,,42.59,,
,,,,,
Romania,8/13/2020,,42.59,,
,,,,,
Romania,8/14/2020,,42.59,,
,,,,,
Romania,8/15/2020,,42.59,,
,,,,,
Romania,8/16/2020,,42.59,,
,,,,,
Romania,8/17/2020,,42.59,,
,,,,,
Romania,8/18/2020,,42.59,,
,,,,,
Romania,8/19/2020,,42.59,,
,,,,,
Romania,8/20/2020,,42.59,,
,,,,,
Romania,8/21/2020,,42.59,,
,,,,,
Romania,8/22/2020,,42.59,,
,,,,,
Romania,8/23/2020,,42.59,,
,,,,,
Romania,8/24/2020,,42.59,,
,,,,,
Romania,8/25/2020,,42.59,,
,,,,,
Romania,8/26/2020,,42.59,,
,,,,,
Romania,8/27/2020,,42.59,,
,,,,,
Romania,8/28/2020,,42.59,,
,,,,,
Romania,8/29/2020,,42.59,,
,,,,,
Romania,8/30/2020,,42.59,,
,,,,,
Romania,8/31/2020,,42.59,,
,,,,,
Romania,9/1/2020,,42.59,,
,,,,,
Romania,9/2/2020,,42.59,,
,,,,,
Romania,9/3/2020,,45.37,,
,,,,,
Romania,9/4/2020,,45.37,,
,,,,,
Romania,9/5/2020,,45.37,,
,,,,,
Romania,9/6/2020,,45.37,,
,,,,,
Romania,9/7/2020,,45.37,,
,,,,,
Romania,9/8/2020,,45.37,,
,,,,,
Romania,9/9/2020,,45.37,,
,,,,,
Romania,9/10/2020,,45.37,,
,,,,,
Romania,9/11/2020,,45.37,,
,,,,,
Romania,9/12/2020,,45.37,,
,,,,,
Romania,9/13/2020,,45.37,,
,,,,,
Romania,9/14/2020,,43.52,,
,,,,,
Romania,9/15/2020,,43.52,,
,,,,,
Romania,9/16/2020,,43.52,,
,,,,,
Romania,9/17/2020,,43.52,,
,,,,,
Romania,9/18/2020,,43.52,,
,,,,,
Romania,9/19/2020,,43.52,,
,,,,,
Romania,9/20/2020,,43.52,,
,,,,,
Romania,9/21/2020,,43.52,,
,,,,,
Romania,9/22/2020,,43.52,,
,,,,,
Romania,9/23/2020,,43.52,,
,,,,,
Romania,9/24/2020,,43.52,,
,,,,,
Romania,9/25/2020,,43.52,,
,,,,,
Romania,9/26/2020,,43.52,,
,,,,,
Romania,9/27/2020,,43.52,,
,,,,,
Romania,9/28/2020,,43.52,,
,,,,,
Romania,9/29/2020,,43.52,,
,,,,,
Romania,9/30/2020,,43.52,,
,,,,,
Romania,10/1/2020,,43.52,,
,,,,,
Romania,10/2/2020,,43.52,,
,,,,,
Romania,10/3/2020,,43.52,,
,,,,,
Romania,10/4/2020,,43.52,,
,,,,,
Romania,10/5/2020,,43.52,,
,,,,,
Romania,10/6/2020,,43.52,,
,,,,,
Romania,10/7/2020,,45.37,,
,,,,,
Romania,10/8/2020,,45.37,,
,,,,,
Romania,10/9/2020,,44.44,,
,,,,,
Romania,10/10/2020,,44.44,,
,,,,,
Romania,10/11/2020,,44.44,,
,,,,,
Romania,10/12/2020,,44.44,,
,,,,,
Romania,10/13/2020,,44.44,,
,,,,,
Romania,10/14/2020,,44.44,,
,,,,,
Romania,10/15/2020,,44.44,,
,,,,,
Romania,10/16/2020,,44.44,,
,,,,,
Romania,10/17/2020,,44.44,,
,,,,,
Romania,10/18/2020,,44.44,,
,,,,,
Romania,10/19/2020,,44.44,,
,,,,,
Romania,10/20/2020,,54.63,,
,,,,,
Romania,10/21/2020,,54.63,,
,,,,,
Romania,10/22/2020,,54.63,,
,,,,,
Romania,10/23/2020,,54.63,,
,,,,,
Romania,10/24/2020,,54.63,,
,,,,,
Romania,10/25/2020,,54.63,,
,,,,,
Romania,10/26/2020,,54.63,,
,,,,,
Romania,10/27/2020,,54.63,,
,,,,,
Romania,10/28/2020,,54.63,,
,,,,,
Romania,10/29/2020,,54.63,,
,,,,,
Romania,10/30/2020,,54.63,,
,,,,,
Romania,10/31/2020,,54.63,,
,,,,,
Romania,11/1/2020,,54.63,,
,,,,,
Romania,11/2/2020,,54.63,,
,,,,,
Romania,11/3/2020,,54.63,,
,,,,,
Romania,11/4/2020,,54.63,,
,,,,,
Romania,11/5/2020,,54.63,,
,,,,,
Romania,11/6/2020,,54.63,,
,,,,,
Romania,11/7/2020,,54.63,,
,,,,,
Romania,11/8/2020,,54.63,,
,,,,,
Romania,11/9/2020,,66.67,,
,,,,,
Romania,11/10/2020,,66.67,,
,,,,,
Romania,11/11/2020,,66.67,,
,,,,,
Romania,11/12/2020,,66.67,,
,,,,,
Romania,11/13/2020,,66.67,,
,,,,,
Romania,11/14/2020,,66.67,,
,,,,,
Romania,11/15/2020,,66.67,,
,,,,,
Romania,11/16/2020,,76.85,,
,,,,,
Romania,11/17/2020,,76.85,,
,,,,,
Romania,11/18/2020,,76.85,,
,,,,,
Romania,11/19/2020,,76.85,,
,,,,,
Romania,11/20/2020,,76.85,,
,,,,,
Romania,11/21/2020,,76.85,,
,,,,,
Romania,11/22/2020,,76.85,,
,,,,,
Romania,11/23/2020,,76.85,,
,,,,,
Romania,11/24/2020,,76.85,,
,,,,,
Romania,11/25/2020,,76.85,,
,,,,,
Romania,11/26/2020,,76.85,,
,,,,,
Romania,11/27/2020,,76.85,,
,,,,,
Romania,11/28/2020,,76.85,,
,,,,,
Romania,11/29/2020,,76.85,,
,,,,,
Romania,11/30/2020,,76.85,,
,,,,,
Romania,12/1/2020,,76.85,,
,,,,,
Romania,12/2/2020,,76.85,,
,,,,,
Romania,12/3/2020,,76.85,,
,,,,,
Romania,12/4/2020,,76.85,,
,,,,,
Romania,12/5/2020,,76.85,,
,,,,,
Romania,12/6/2020,,76.85,,
,,,,,
Romania,12/7/2020,,76.85,,
,,,,,
Romania,12/8/2020,,76.85,,
,,,,,
Romania,12/9/2020,,76.85,,
,,,,,
Romania,12/10/2020,,76.85,,
,,,,,
Romania,12/11/2020,,76.85,,
,,,,,
Romania,12/12/2020,,76.85,,
,,,,,
Romania,12/13/2020,,76.85,,
,,,,,
Romania,12/14/2020,,76.85,,
,,,,,
Romania,12/15/2020,,76.85,,
,,,,,
Romania,12/16/2020,,76.85,,
,,,,,
Romania,12/17/2020,,76.85,,
,,,,,
Romania,12/18/2020,,76.85,,
,,,,,
Romania,12/19/2020,,76.85,,
,,,,,
Romania,12/20/2020,,76.85,,
,,,,,
Romania,12/21/2020,,76.85,,
,,,,,
Romania,12/22/2020,,76.85,,
,,,,,
Romania,12/23/2020,,76.85,,
,,,,,
Romania,12/24/2020,,76.85,,
,,,,,
Romania,12/25/2020,,76.85,,
,,,,,
Romania,12/26/2020,,76.85,,
,,,,,
Romania,12/27/2020,,76.85,,
,,,,,
Romania,12/28/2020,,76.85,,
,,,,,
Romania,12/29/2020,,76.85,,
,,,,,
Romania,12/30/2020,,76.85,,
,,,,,
Romania,12/31/2020,,76.85,,
,,,,,
Romania,1/1/2021,,76.85,,
,,,,,
Romania,1/2/2021,,76.85,,
,,,,,
Romania,1/3/2021,,76.85,,
,,,,,
Romania,1/4/2021,,76.85,,
,,,,,
Romania,1/5/2021,,76.85,,
,,,,,
Romania,1/6/2021,,76.85,,
,,,,,
Romania,1/7/2021,,76.85,,
,,,,,
Romania,1/8/2021,,76.85,,
,,,,,
Romania,1/9/2021,,76.85,,
,,,,,
Romania,1/10/2021,,76.85,,
,,,,,
Romania,1/11/2021,,76.85,,
,,,,,
Romania,1/12/2021,,76.85,,
,,,,,
Romania,1/13/2021,,76.85,,
,,,,,
Romania,1/14/2021,,76.85,,
,,,,,
Romania,1/15/2021,,76.85,,
,,,,,
Romania,1/16/2021,,76.85,,
,,,,,
Romania,1/17/2021,,76.85,,
,,,,,
Romania,1/18/2021,,76.85,,
,,,,,
Romania,1/19/2021,,76.85,,
,,,,,
Romania,1/20/2021,,76.85,,
,,,,,
Romania,1/21/2021,,76.85,,
,,,,,
Romania,1/22/2021,,76.85,,
,,,,,
Romania,1/23/2021,,76.85,,
,,,,,
Romania,1/24/2021,,76.85,,
,,,,,
Romania,1/25/2021,,76.85,,
,,,,,
Romania,1/26/2021,,76.85,,
,,,,,
Romania,1/27/2021,,76.85,,
,,,,,
Romania,1/28/2021,,76.85,,
,,,,,
Romania,1/29/2021,,76.85,,
,,,,,
Romania,1/30/2021,,76.85,,
,,,,,
Romania,1/31/2021,,76.85,,
,,,,,
Romania,2/1/2021,,76.85,,
,,,,,
Romania,2/2/2021,,76.85,,
,,,,,
Romania,2/3/2021,,76.85,,
,,,,,
Romania,2/4/2021,,76.85,,
,,,,,
Romania,2/5/2021,,76.85,,
,,,,,
Romania,2/6/2021,,76.85,,
,,,,,
Romania,2/7/2021,,76.85,,
,,,,,
Romania,2/8/2021,,76.85,,
,,,,,
Romania,2/9/2021,,76.85,,
,,,,,
Romania,2/10/2021,,76.85,,
,,,,,
Romania,2/11/2021,,76.85,,
,,,,,
Romania,2/12/2021,,76.85,,
,,,,,
Romania,2/13/2021,,76.85,,
,,,,,
Romania,2/14/2021,,76.85,,
,,,,,
Romania,2/15/2021,,62.96,,
,,,,,
Romania,2/16/2021,,62.96,,
,,,,,
Romania,2/17/2021,,62.96,,
,,,,,
Romania,2/18/2021,,62.96,,
,,,,,
Romania,2/19/2021,,62.96,,
,,,,,
Romania,2/20/2021,,62.96,,
,,,,,
Romania,2/21/2021,,73.15,,
,,,,,
Romania,2/22/2021,,73.15,,
,,,,,
Romania,2/23/2021,,73.15,,
,,,,,
Romania,2/24/2021,,73.15,,
,,,,,
Romania,2/25/2021,,73.15,,
,,,,,
Romania,2/26/2021,,73.15,,
,,,,,
Romania,2/27/2021,,73.15,,
,,,,,
Romania,2/28/2021,,73.15,,
,,,,,
Romania,3/1/2021,,73.15,,
,,,,,
Romania,3/2/2021,,73.15,,
,,,,,
Romania,3/3/2021,,73.15,,
,,,,,
Romania,3/4/2021,,73.15,,
,,,,,
Romania,3/5/2021,,73.15,,
,,,,,
Romania,3/6/2021,,73.15,,
,,,,,
Romania,3/7/2021,,73.15,,
,,,,,
Romania,3/8/2021,,73.15,,
,,,,,
Romania,3/9/2021,,73.15,,
,,,,,
Romania,3/10/2021,,73.15,,
,,,,,
Romania,3/11/2021,,73.15,,
,,,,,
Romania,3/12/2021,,73.15,,
,,,,,
Romania,3/13/2021,,73.15,,
,,,,,
Romania,3/14/2021,,73.15,,
,,,,,
Romania,3/15/2021,,63.89,,
,,,,,
Romania,3/16/2021,,63.89,,
,,,,,
Romania,3/17/2021,,63.89,,
,,,,,
Romania,3/18/2021,,63.89,,
,,,,,
Romania,3/19/2021,,63.89,,
,,,,,
Romania,3/20/2021,,63.89,,
,,,,,
Romania,3/21/2021,,63.89,,
,,,,,
Romania,3/22/2021,,63.89,,
,,,,,
Romania,3/23/2021,,63.89,,
,,,,,
Romania,3/24/2021,,63.89,,
,,,,,
Romania,3/25/2021,,63.89,,
,,,,,
Romania,3/26/2021,,63.89,,
,,,,,
Romania,3/27/2021,,63.89,,
,,,,,
Romania,3/28/2021,,63.89,,
,,,,,
Romania,3/29/2021,,63.89,,
,,,,,
Romania,3/30/2021,,63.89,,
,,,,,
Romania,3/31/2021,,63.89,,
,,,,,
Romania,4/1/2021,,63.89,,
,,,,,
Romania,4/2/2021,,63.89,,
,,,,,
Romania,4/3/2021,,63.89,,
,,,,,
Romania,4/4/2021,,63.89,,
,,,,,
Romania,4/5/2021,,63.89,,
,,,,,
Romania,4/6/2021,,63.89,,
,,,,,
Romania,4/7/2021,,63.89,,
,,,,,
Romania,4/8/2021,,63.89,,
,,,,,
Romania,4/9/2021,,63.89,,
,,,,,
Romania,4/10/2021,,63.89,,
,,,,,
Romania,4/11/2021,,63.89,,
,,,,,
Romania,4/12/2021,,63.89,,
,,,,,
Romania,4/13/2021,,63.89,,
,,,,,
Romania,4/14/2021,,63.89,,
,,,,,
Romania,4/15/2021,,63.89,,
,,,,,
Romania,4/16/2021,,63.89,,
,,,,,
Romania,4/17/2021,,63.89,,
,,,,,
Romania,4/18/2021,,63.89,,
,,,,,
Romania,4/19/2021,,63.89,,
,,,,,
Romania,4/20/2021,,63.89,,
,,,,,
Romania,4/21/2021,,63.89,,
,,,,,
Romania,4/22/2021,,63.89,,
,,,,,
Romania,4/23/2021,,63.89,,
,,,,,
Romania,4/24/2021,,63.89,,
,,,,,
Romania,4/25/2021,,63.89,,
,,,,,
Romania,4/26/2021,,63.89,,
,,,,,
Romania,4/27/2021,,63.89,,
,,,,,
Romania,4/28/2021,,63.89,,
,,,,,
Romania,4/29/2021,,63.89,,
,,,,,
Romania,4/30/2021,,63.89,,
,,,,,
Romania,5/1/2021,,63.89,,
,,,,,
Romania,5/2/2021,,63.89,,
,,,,,
Romania,5/3/2021,,63.89,,
,,,,,
Romania,5/4/2021,,63.89,,
,,,,,
Romania,5/5/2021,,63.89,,
,,,,,
Romania,5/6/2021,,63.89,,
,,,,,
Romania,5/7/2021,,63.89,,
,,,,,
Romania,5/8/2021,,63.89,,
,,,,,
Romania,5/9/2021,,63.89,,
,,,,,
Romania,5/10/2021,,63.89,,
,,,,,
Romania,5/11/2021,,63.89,,
,,,,,
Romania,5/12/2021,,63.89,,
,,,,,
Romania,5/13/2021,,63.89,,
,,,,,
Romania,5/14/2021,,63.89,,
,,,,,
Romania,5/15/2021,,39.81,,
,,,,,
Romania,5/16/2021,,39.81,,
,,,,,
Romania,5/17/2021,,39.81,,
,,,,,
Romania,5/18/2021,,48.15,,
,,,,,
Romania,5/19/2021,,48.15,,
,,,,,
Romania,5/20/2021,,48.15,,
,,,,,
Romania,5/21/2021,,48.15,,
,,,,,
Romania,5/22/2021,,48.15,,
,,,,,
Romania,5/23/2021,,48.15,,
,,,,,
Romania,5/24/2021,,48.15,,
,,,,,
Romania,5/25/2021,,48.15,,
,,,,,
Romania,5/26/2021,,48.15,,
,,,,,
Romania,5/27/2021,,48.15,,
,,,,,
Romania,5/28/2021,,48.15,,
,,,,,
Romania,5/29/2021,,48.15,,
